200
numero;date_debut;date_fin;categorie;km;client;car
54;9-3-2018-8;17-11-2018-8;C;1743;677999682;LV-418-LV
55;7-4-2018-12;3-8-2018-12;C;702;666669446;FC-190-FC
56;15-5-2018-1;28-10-2019-1;C;3450;671275128;ZJ-581-ZJ
57;31-5-2018-6;2-6-2018-6;C;142;690388619;AD-570-AD
58;28-6-2018-3;29-7-2019-3;B;1960;675307971;VL-149-VL
59;13-4-2019-3;26-5-2019-3;B;3336;658230374;KE-512-KE
60;19-6-2018-1;5-1-2019-1;B;3662;673285452;KM-527-KM
61;18-8-2019-5;13-11-2019-5;B;1984;665655845;SI-770-SI
62;3-4-2019-4;29-4-2019-4;B;2921;675275707;LZ-447-LZ
63;16-6-2018-4;6-4-2019-4;A;2314;671968576;DW-570-DW
64;7-5-2019-4;24-12-2019-4;A;703;660709286;BC-430-BC
65;20-6-2018-12;14-7-2019-12;A;2704;671275128;BY-640-BY
66;30-7-2018-12;22-11-2018-12;B;3120;691200452;IT-693-IT
67;11-1-2019-4;19-9-2019-4;C;313;695305826;XK-073-XK
68;13-1-2019-8;7-2-2019-8;B;533;686708318;OP-729-OP
69;4-12-2018-7;31-8-2019-7;A;2255;661097939;HI-374-HI
70;14-4-2019-12;29-10-2019-12;C;438;674456942;CZ-665-CZ
71;28-11-2019-5;21-12-2019-5;C;2018;677096807;TI-054-TI
72;31-7-2018-2;22-10-2018-2;A;209;661182428;PR-156-PR
73;13-5-2018-5;23-11-2019-5;C;3086;678617353;GJ-057-GJ
74;23-4-2018-3;4-5-2019-3;B;1973;661483090;JQ-228-JQ
75;9-10-2018-10;31-7-2019-10;A;173;660874802;VD-904-VD
76;15-7-2018-11;20-4-2019-11;A;3526;687735651;PR-156-PR
77;7-2-2018-8;21-11-2018-8;C;3602;683993001;HO-629-HO
78;17-5-2018-12;5-9-2018-12;B;1526;666147464;UY-519-UY
79;12-11-2018-12;25-12-2018-12;C;567;663103551;VL-862-VL
80;18-1-2018-4;12-10-2019-4;A;2829;660874802;TO-568-TO
81;15-6-2018-3;12-2-2019-3;C;3344;691141891;UL-688-UL
82;15-2-2018-2;7-8-2018-2;C;1018;659276805;NY-879-NY
83;14-5-2018-9;8-9-2019-9;B;1543;674385288;XE-579-XE
84;15-10-2018-1;14-7-2019-1;C;1796;685798374;IE-636-IE
85;2-10-2018-3;15-7-2019-3;C;336;690571341;SP-245-SP
86;22-4-2018-8;13-5-2019-8;C;930;659579406;MH-396-MH
87;8-3-2018-11;12-5-2019-11;A;650;658866243;BX-392-BX
88;12-11-2018-7;30-8-2019-7;C;2849;674456942;LV-418-LV
89;4-3-2018-8;23-9-2019-8;B;1050;684821849;YK-592-YK
90;24-3-2018-11;29-5-2018-11;C;2885;681456298;ON-354-ON
91;4-10-2018-4;29-1-2019-4;C;580;674456942;CD-510-CD
92;11-5-2018-9;18-5-2018-9;C;817;686899932;PB-397-PB
93;21-6-2018-6;31-5-2019-6;A;1963;666334562;DW-570-DW
94;19-8-2019-4;22-9-2019-4;C;2137;691200452;YL-302-YL
95;4-9-2018-7;29-11-2018-7;B;3155;683157610;QV-271-QV
96;18-4-2018-6;26-2-2019-6;C;2092;658114362;IE-636-IE
97;10-5-2018-10;1-3-2019-10;C;209;660709286;YH-195-YH
98;17-12-2018-3;12-11-2019-3;B;3318;658866243;ZE-352-ZE
99;7-3-2018-8;16-11-2019-8;B;557;661182428;QV-271-QV
100;26-7-2018-12;18-7-2019-12;C;3622;691561626;ZJ-581-ZJ
101;9-3-2018-7;20-11-2018-7;A;2078;665655845;MY-612-MY
102;7-9-2018-9;18-6-2019-9;A;161;678395578;OC-212-OC
103;31-10-2018-3;2-6-2019-3;B;1318;684821849;VR-782-VR
104;1-8-2018-2;18-9-2018-2;A;3639;694778574;HH-683-HH
105;13-8-2018-9;30-9-2019-9;B;2976;683690773;ND-023-ND
106;30-8-2019-4;30-9-2019-4;A;1306;677235921;WP-566-WP
107;6-4-2019-11;20-10-2019-11;B;810;658866243;IT-693-IT
108;12-3-2018-1;26-12-2018-1;C;3830;686008942;HO-629-HO
109;26-12-2018-9;20-5-2019-9;B;3166;695793614;EQ-092-EQ
110;13-1-2018-2;28-11-2018-2;B;1951;695305826;UY-519-UY
111;26-4-2018-5;28-12-2019-5;A;2005;673353931;AN-743-AN
112;29-1-2018-8;1-12-2019-8;B;2686;686190756;CE-647-CE
113;16-10-2018-4;8-12-2019-4;C;3663;658230374;KS-455-KS
114;23-2-2018-10;17-3-2019-10;C;1002;694441714;VS-654-VS
115;21-3-2018-3;28-5-2018-3;C;2091;695275913;NL-230-NL
116;19-12-2018-11;6-5-2019-11;B;190;694557164;WC-617-WC
117;1-12-2018-8;21-12-2019-8;A;1738;685002560;NA-682-NA
118;1-5-2018-6;30-3-2019-6;B;551;668777812;KJ-892-KJ
119;26-8-2018-4;2-4-2019-4;C;1971;671664223;LV-418-LV
120;2-12-2018-2;14-4-2019-2;B;3823;694441714;PA-427-PA
121;28-12-2018-7;28-1-2019-7;C;2558;657273022;DD-501-DD
122;17-12-2018-9;23-12-2018-9;C;3468;682239467;YE-415-YE
123;20-8-2018-4;12-8-2019-4;A;2975;664967616;HH-683-HH
124;30-8-2018-8;9-2-2019-8;B;3412;694067898;GP-549-GP
125;18-9-2019-8;4-10-2019-8;A;2071;682958447;BE-668-BE
126;27-9-2019-5;25-11-2019-5;B;2484;683773301;FY-474-FY
127;13-3-2019-7;3-5-2019-7;C;2958;693972268;SP-245-SP
128;11-4-2019-9;6-10-2019-9;C;343;661483090;SP-245-SP
129;1-2-2018-11;9-4-2019-11;A;2512;694661194;PF-999-PF
130;27-10-2018-11;1-10-2019-11;C;1923;685002560;DH-810-DH
131;1-6-2019-9;1-8-2019-9;B;979;677096807;XU-601-XU
132;1-8-2018-9;15-11-2019-9;A;2110;677745611;DU-336-DU
133;11-8-2018-10;17-9-2019-10;C;1984;669820702;ZO-768-ZO
134;4-1-2018-2;13-5-2019-2;A;1091;695487710;IS-212-IS
135;5-2-2018-5;3-11-2018-5;B;1271;693357182;DS-122-DS
136;20-2-2018-1;18-5-2019-1;A;3370;695900199;PM-292-PM
137;29-3-2018-9;10-9-2018-9;C;1947;667428007;FY-678-FY
138;18-1-2018-7;30-5-2018-7;C;1927;664976394;GJ-057-GJ
139;14-2-2018-7;1-7-2019-7;C;342;685135819;YL-302-YL
140;21-4-2019-11;19-7-2019-11;A;2936;671968576;GZ-024-GZ
141;27-7-2018-12;29-10-2018-12;C;3315;662209458;ZC-736-ZC
142;3-7-2019-8;19-10-2019-8;B;3093;676687096;XU-601-XU
143;23-10-2018-12;21-1-2019-12;A;588;669475529;EM-836-EM
144;9-1-2019-6;12-8-2019-6;C;1824;691200452;VD-035-VD
145;7-4-2018-7;19-3-2019-7;C;1839;676541828;YC-646-YC
146;13-6-2018-10;10-11-2019-10;B;2145;657273022;EQ-092-EQ
147;16-4-2018-6;1-8-2019-6;B;1097;672689749;QR-118-QR
148;17-1-2019-1;23-7-2019-1;C;2528;671193509;CZ-665-CZ
149;6-12-2018-11;2-11-2019-11;A;2241;683592102;UO-943-UO
150;2-5-2018-12;1-10-2019-12;A;1107;672057483;UO-943-UO
151;22-1-2018-6;11-10-2019-6;A;3156;684709909;MY-612-MY
152;5-10-2018-12;28-8-2019-12;C;3398;689193038;DK-746-DK
153;1-6-2018-4;20-8-2018-4;C;1313;691353984;TI-054-TI
154;2-1-2018-7;28-1-2018-7;B;3959;686190756;GP-549-GP
155;1-1-2018-11;5-1-2018-11;C;2621;671804196;KY-188-KY
156;14-1-2019-7;11-3-2019-7;C;2443;658446403;RE-799-RE
157;20-4-2018-2;15-7-2019-2;C;395;659276805;FY-678-FY
158;26-3-2018-6;1-10-2018-6;C;3285;690960096;DT-389-DT
159;15-7-2018-7;23-4-2019-7;C;805;662853039;YU-391-YU
160;13-2-2018-5;6-5-2019-5;C;2479;668777812;UY-228-UY
161;1-8-2018-1;19-10-2019-1;C;3313;661483090;UP-783-UP
162;3-3-2018-7;7-11-2018-7;C;1165;693972268;VO-793-VO
163;21-2-2018-4;10-10-2018-4;C;173;672988021;QU-727-QU
164;24-8-2018-2;19-10-2018-2;B;2709;673939817;KM-315-KM
165;23-10-2018-1;26-8-2019-1;B;3621;659730975;DS-122-DS
166;26-3-2018-1;6-6-2019-1;C;1105;658446403;MD-159-MD
167;2-6-2019-7;13-6-2019-7;C;2869;669820702;MD-159-MD
168;7-3-2019-2;31-7-2019-2;B;1776;686708318;XG-181-XG
169;8-10-2018-5;4-11-2018-5;B;1090;692314936;KM-527-KM
170;16-4-2019-6;7-5-2019-6;C;2412;666147464;KS-455-KS
171;23-6-2018-3;26-10-2019-3;A;3709;658114362;BH-284-BH
172;15-2-2018-8;27-2-2018-8;B;3260;690785307;ML-132-ML
173;18-11-2018-6;10-11-2019-6;A;2534;667261161;IS-212-IS
174;31-8-2018-4;27-9-2018-4;A;2092;693241252;ME-124-ME
175;16-1-2018-4;26-7-2019-4;C;1515;671275128;UG-410-UG
176;20-1-2019-9;14-10-2019-9;C;3791;666245334;CX-700-CX
177;10-12-2018-8;29-3-2019-8;C;2063;685135819;DK-746-DK
178;14-7-2018-5;24-7-2018-5;B;2519;667477850;WC-617-WC
179;26-9-2018-6;1-3-2019-6;B;2882;667261161;XE-579-XE
180;19-1-2018-12;18-11-2018-12;C;3492;658114362;AD-570-AD
181;27-10-2018-12;28-9-2019-12;C;3116;668574789;NS-996-NS
182;24-3-2018-3;18-12-2019-3;B;684;683157610;GP-549-GP
183;16-2-2019-5;29-4-2019-5;C;1271;667477850;NF-120-NF
184;2-1-2019-10;28-6-2019-10;A;1400;694067898;AT-518-AT
185;14-2-2019-10;6-6-2019-10;A;1294;671650821;EI-959-EI
186;12-8-2018-4;27-9-2018-4;B;2146;678165216;IT-424-IT
187;17-5-2019-5;15-12-2019-5;B;1120;672914338;DS-122-DS
188;11-9-2018-3;19-11-2018-3;C;1899;686203372;RE-799-RE
189;3-1-2018-11;18-1-2018-11;C;112;682852095;KS-455-KS
190;22-2-2018-5;28-11-2019-5;B;2329;670648526;XG-181-XG
191;15-12-2018-8;24-12-2019-8;C;1578;683157610;OV-012-OV
192;7-6-2019-5;11-7-2019-5;A;682;683157610;DH-375-DH
193;3-11-2018-9;28-12-2019-9;B;139;658230374;KT-314-KT
194;5-3-2018-10;20-9-2019-10;C;3644;671968576;ZO-768-ZO
195;25-6-2018-10;16-8-2018-10;C;3704;666147464;DT-389-DT
196;24-11-2018-3;11-3-2019-3;C;1628;674156721;TI-054-TI
197;20-3-2018-11;7-7-2019-11;A;475;669169956;ED-815-ED
198;25-4-2019-1;25-8-2019-1;C;1330;679697258;SP-245-SP
199;18-7-2019-7;23-10-2019-7;A;624;676894819;RP-601-RP
