200
nom;type_permis;telephone
Dorian_HUET;A;691200452
Alice_BERNARD;B;687559112
Pierre_MARTIN;B;666307831
Pierre_PETIT;B;667181790
Marie_HUET;B;676333864
Michelle_DURAND;A;677745611
Valentin_GUERIN;A;667758793
Jack_MARTIN;B;692314936
Jack_MARTIN;B;684821849
Pierre_ROUX;A;682431152
Pierre_PETIT;A;694661194
